




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.3954044 Released 2020-07-16
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20851)	upload_1 (188)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway (GO:0002484)	8	4	.07	+	55.45	2.89E-06	2.12E-04
regulation of type IIa hypersensitivity (GO:0001796)	4	2	.04	+	55.45	1.16E-03	3.20E-02
positive regulation of CD8-positive, alpha-beta T cell proliferation (GO:2000566)	4	2	.04	+	55.45	1.16E-03	3.20E-02
cellular response to cycloheximide (GO:0071409)	4	2	.04	+	55.45	1.16E-03	3.19E-02
modulation by symbiont of host defense response (GO:0052031)	8	4	.07	+	55.45	2.89E-06	2.11E-04
regulation of collagen catabolic process (GO:0010710)	4	2	.04	+	55.45	1.16E-03	3.18E-02
protection from natural killer cell mediated cytotoxicity (GO:0042270)	6	3	.05	+	55.45	5.67E-05	2.71E-03
regulation of type II hypersensitivity (GO:0002892)	4	2	.04	+	55.45	1.16E-03	3.18E-02
cellular response to corticotropin-releasing hormone stimulus (GO:0071376)	5	2	.05	+	44.36	1.62E-03	4.15E-02
response to corticotropin-releasing hormone (GO:0043435)	5	2	.05	+	44.36	1.62E-03	4.14E-02
regulation of CD8-positive, alpha-beta T cell proliferation (GO:2000564)	8	3	.07	+	41.59	1.10E-04	4.57E-03
response to host defenses (GO:0052200)	11	4	.10	+	40.33	7.80E-06	4.98E-04
response to defenses of other organism (GO:0052173)	11	4	.10	+	40.33	7.80E-06	4.96E-04
response to host (GO:0075136)	11	4	.10	+	40.33	7.80E-06	4.94E-04
regulation of tau-protein kinase activity (GO:1902947)	13	4	.12	+	34.13	1.34E-05	7.87E-04
positive regulation of antigen processing and presentation (GO:0002579)	10	3	.09	+	33.27	1.88E-04	7.24E-03
antigen processing and presentation of endogenous peptide antigen (GO:0002483)	18	5	.16	+	30.81	1.59E-06	1.26E-04
antigen processing and presentation of endogenous peptide antigen via MHC class I (GO:0019885)	18	5	.16	+	30.81	1.59E-06	1.26E-04
regulation of dendritic cell antigen processing and presentation (GO:0002604)	11	3	.10	+	30.25	2.38E-04	8.73E-03
positive regulation of monocyte differentiation (GO:0045657)	11	3	.10	+	30.25	2.38E-04	8.71E-03
regulation of receptor catabolic process (GO:2000644)	11	3	.10	+	30.25	2.38E-04	8.69E-03
positive regulation by symbiont of entry into host (GO:0075294)	11	3	.10	+	30.25	2.38E-04	8.67E-03
positive regulation of viral entry into host cell (GO:0046598)	11	3	.10	+	30.25	2.38E-04	8.65E-03
sequestering of actin monomers (GO:0042989)	12	3	.11	+	27.73	2.95E-04	1.04E-02
antigen processing and presentation of endogenous antigen (GO:0019883)	25	6	.23	+	26.62	2.87E-07	2.74E-05
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213)	13	3	.12	+	25.59	3.61E-04	1.23E-02
negative regulation by host of viral transcription (GO:0043922)	14	3	.13	+	23.77	4.35E-04	1.44E-02
regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211)	15	3	.14	+	22.18	5.19E-04	1.63E-02
interferon-gamma-mediated signaling pathway (GO:0060333)	72	14	.65	+	21.57	3.29E-14	8.71E-12
regulation of antigen processing and presentation (GO:0002577)	21	4	.19	+	21.13	6.74E-05	3.14E-03
negative regulation of natural killer cell mediated cytotoxicity (GO:0045953)	16	3	.14	+	20.80	6.12E-04	1.87E-02
negative regulation of natural killer cell mediated immunity (GO:0002716)	17	3	.15	+	19.57	7.16E-04	2.13E-02
regulation of CD8-positive, alpha-beta T cell activation (GO:2001185)	18	3	.16	+	18.48	8.29E-04	2.39E-02
regulation of inclusion body assembly (GO:0090083)	18	3	.16	+	18.48	8.29E-04	2.39E-02
positive regulation of myelination (GO:0031643)	19	3	.17	+	17.51	9.54E-04	2.71E-02
positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900153)	19	3	.17	+	17.51	9.54E-04	2.70E-02
protein refolding (GO:0042026)	19	3	.17	+	17.51	9.54E-04	2.70E-02
rhythmic behavior (GO:0007622)	26	4	.23	+	17.06	1.41E-04	5.66E-03
skeletal muscle cell differentiation (GO:0035914)	53	8	.48	+	16.74	6.88E-08	7.60E-06
regulation of monocyte differentiation (GO:0045655)	20	3	.18	+	16.64	1.09E-03	3.06E-02
negative regulation of leukocyte mediated cytotoxicity (GO:0001911)	20	3	.18	+	16.64	1.09E-03	3.05E-02
respiratory burst (GO:0045730)	21	3	.19	+	15.84	1.24E-03	3.33E-02
positive regulation of T cell mediated cytotoxicity (GO:0001916)	28	4	.25	+	15.84	1.83E-04	7.11E-03
negative regulation of viral transcription (GO:0032897)	28	4	.25	+	15.84	1.83E-04	7.10E-03
regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900151)	21	3	.19	+	15.84	1.24E-03	3.32E-02
mitochondrial ATP synthesis coupled proton transport (GO:0042776)	22	3	.20	+	15.12	1.40E-03	3.67E-02
antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)	99	13	.89	+	14.56	2.40E-11	4.54E-09
regulation of interleukin-4 production (GO:0032673)	31	4	.28	+	14.31	2.60E-04	9.32E-03
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II (GO:0002504)	101	13	.91	+	14.28	3.01E-11	5.63E-09
antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)	101	13	.91	+	14.28	3.01E-11	5.56E-09
cellular response to interferon-gamma (GO:0071346)	164	21	1.48	+	14.20	2.09E-17	8.53E-15
negative regulation of cell killing (GO:0031342)	24	3	.22	+	13.86	1.75E-03	4.41E-02
positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895)	40	5	.36	+	13.86	4.94E-05	2.42E-03
lymphocyte chemotaxis (GO:0048247)	49	6	.44	+	13.58	9.47E-06	5.81E-04
circadian behavior (GO:0048512)	25	3	.23	+	13.31	1.95E-03	4.80E-02
ATP synthesis coupled proton transport (GO:0015986)	25	3	.23	+	13.31	1.95E-03	4.79E-02
energy coupled proton transport, down electrochemical gradient (GO:0015985)	25	3	.23	+	13.31	1.95E-03	4.78E-02
response to interferon-gamma (GO:0034341)	186	22	1.68	+	13.12	1.61E-17	6.92E-15
regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893)	52	6	.47	+	12.80	1.29E-05	7.64E-04
regulation of T cell mediated cytotoxicity (GO:0001914)	35	4	.32	+	12.68	3.98E-04	1.33E-02
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	178	20	1.60	+	12.46	1.25E-15	4.13E-13
antigen processing and presentation of peptide antigen (GO:0048002)	194	21	1.75	+	12.01	4.63E-16	1.60E-13
positive regulation of cytokine biosynthetic process (GO:0042108)	37	4	.33	+	11.99	4.83E-04	1.56E-02
antigen processing and presentation of exogenous antigen (GO:0019884)	186	20	1.68	+	11.93	2.69E-15	8.08E-13
positive regulation of interferon-gamma production (GO:0032729)	67	7	.60	+	11.59	4.42E-06	2.98E-04
modulation by symbiont of entry into host (GO:0052372)	48	5	.43	+	11.55	1.09E-04	4.57E-03
cellular response to cadmium ion (GO:0071276)	39	4	.35	+	11.38	5.80E-04	1.79E-02
regulation of erythrocyte differentiation (GO:0045646)	49	5	.44	+	11.32	1.20E-04	4.91E-03
negative regulation of innate immune response (GO:0045824)	60	6	.54	+	11.09	2.74E-05	1.46E-03
regulation of viral entry into host cell (GO:0046596)	41	4	.37	+	10.82	6.91E-04	2.07E-02
regulation of collagen metabolic process (GO:0010712)	42	4	.38	+	10.56	7.52E-04	2.23E-02
antigen processing and presentation (GO:0019882)	223	21	2.01	+	10.44	5.98E-15	1.70E-12
positive regulation of glial cell differentiation (GO:0045687)	43	4	.39	+	10.32	8.16E-04	2.37E-02
positive regulation of nitric oxide biosynthetic process (GO:0045429)	43	4	.39	+	10.32	8.16E-04	2.37E-02
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	76	7	.69	+	10.22	9.52E-06	5.80E-04
modulation by symbiont of host process (GO:0044003)	55	5	.50	+	10.08	1.98E-04	7.52E-03
positive regulation of nitric oxide metabolic process (GO:1904407)	44	4	.40	+	10.08	8.84E-04	2.54E-02
maintenance of protein location in cell (GO:0032507)	67	6	.60	+	9.93	4.87E-05	2.40E-03
selective autophagy (GO:0061912)	56	5	.50	+	9.90	2.14E-04	7.96E-03
modulation of process of other organism involved in symbiotic interaction (GO:0051817)	114	10	1.03	+	9.73	1.73E-07	1.77E-05
positive regulation of cytokine production involved in immune response (GO:0002720)	57	5	.51	+	9.73	2.31E-04	8.52E-03
regulation of myelination (GO:0031641)	46	4	.41	+	9.64	1.03E-03	2.90E-02
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	81	7	.73	+	9.58	1.40E-05	8.14E-04
positive regulation of myeloid leukocyte differentiation (GO:0002763)	58	5	.52	+	9.56	2.50E-04	9.02E-03
regulation of interferon-gamma production (GO:0032649)	105	9	.95	+	9.51	8.67E-07	7.37E-05
negative regulation of response to biotic stimulus (GO:0002832)	95	8	.86	+	9.34	4.04E-06	2.79E-04
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	96	8	.87	+	9.24	4.34E-06	2.95E-04
maintenance of location in cell (GO:0051651)	96	8	.87	+	9.24	4.34E-06	2.94E-04
response to cold (GO:0009409)	48	4	.43	+	9.24	1.20E-03	3.25E-02
lymphocyte migration (GO:0072676)	72	6	.65	+	9.24	7.08E-05	3.25E-03
modulation by host of symbiont process (GO:0051851)	61	5	.55	+	9.09	3.10E-04	1.09E-02
regulation of interleukin-2 production (GO:0032663)	49	4	.44	+	9.05	1.28E-03	3.44E-02
positive regulation of neuron death (GO:1901216)	99	8	.89	+	8.96	5.37E-06	3.59E-04
positive regulation of alpha-beta T cell activation (GO:0046635)	62	5	.56	+	8.94	3.33E-04	1.14E-02
negative regulation of MAP kinase activity (GO:0043407)	75	6	.68	+	8.87	8.75E-05	3.84E-03
positive regulation of T cell mediated immunity (GO:0002711)	50	4	.45	+	8.87	1.38E-03	3.64E-02
cotranslational protein targeting to membrane (GO:0006613)	101	8	.91	+	8.78	6.16E-06	4.05E-04
positive regulation of leukocyte mediated cytotoxicity (GO:0001912)	52	4	.47	+	8.53	1.58E-03	4.07E-02
regulation of interleukin-8 production (GO:0032677)	78	6	.70	+	8.53	1.07E-04	4.50E-03
positive regulation of fibroblast proliferation (GO:0048146)	52	4	.47	+	8.53	1.58E-03	4.07E-02
negative regulation of blood coagulation (GO:0030195)	52	4	.47	+	8.53	1.58E-03	4.06E-02
modulation of process of other organism (GO:0035821)	131	10	1.18	+	8.47	5.73E-07	5.06E-05
positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002824)	105	8	.95	+	8.45	8.05E-06	5.08E-04
response to cadmium ion (GO:0046686)	66	5	.60	+	8.40	4.36E-04	1.44E-02
negative regulation of hemostasis (GO:1900047)	53	4	.48	+	8.37	1.69E-03	4.27E-02
cellular response to ionizing radiation (GO:0071479)	68	5	.61	+	8.16	4.96E-04	1.58E-02
protein targeting to ER (GO:0045047)	110	8	.99	+	8.07	1.11E-05	6.65E-04
regulation of macrophage activation (GO:0043030)	55	4	.50	+	8.07	1.92E-03	4.74E-02
positive regulation of adaptive immune response (GO:0002821)	110	8	.99	+	8.07	1.11E-05	6.62E-04
positive regulation of reactive oxygen species biosynthetic process (GO:1903428)	55	4	.50	+	8.07	1.92E-03	4.74E-02
granulocyte activation (GO:0036230)	500	36	4.51	+	7.99	2.01E-21	3.20E-18
negative regulation of DNA binding (GO:0043392)	56	4	.50	+	7.92	2.04E-03	4.94E-02
positive regulation of fat cell differentiation (GO:0045600)	70	5	.63	+	7.92	5.62E-04	1.76E-02
type I interferon signaling pathway (GO:0060337)	70	5	.63	+	7.92	5.62E-04	1.75E-02
positive regulation of DNA biosynthetic process (GO:2000573)	70	5	.63	+	7.92	5.62E-04	1.75E-02
cellular response to type I interferon (GO:0071357)	70	5	.63	+	7.92	5.62E-04	1.75E-02
positive regulation of cell killing (GO:0031343)	70	5	.63	+	7.92	5.62E-04	1.74E-02
positive regulation of myeloid cell differentiation (GO:0045639)	99	7	.89	+	7.84	4.70E-05	2.33E-03
neutrophil activation (GO:0042119)	495	35	4.46	+	7.84	1.34E-20	1.42E-17
regulation of interleukin-1 beta production (GO:0032651)	85	6	.77	+	7.83	1.67E-04	6.62E-03
regulation of cytokine production involved in immune response (GO:0002718)	85	6	.77	+	7.83	1.67E-04	6.60E-03
neutrophil degranulation (GO:0043312)	482	34	4.35	+	7.82	5.44E-20	3.93E-17
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	71	5	.64	+	7.81	5.97E-04	1.83E-02
establishment of protein localization to endoplasmic reticulum (GO:0072599)	114	8	1.03	+	7.78	1.42E-05	8.18E-04
neutrophil activation involved in immune response (GO:0002283)	486	34	4.38	+	7.76	6.93E-20	4.59E-17
viral transcription (GO:0019083)	115	8	1.04	+	7.72	1.50E-05	8.59E-04
leukocyte degranulation (GO:0043299)	504	35	4.54	+	7.70	2.31E-20	2.30E-17
antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	101	7	.91	+	7.69	5.30E-05	2.56E-03
neutrophil mediated immunity (GO:0002446)	493	34	4.45	+	7.65	1.05E-19	6.21E-17
regulation of T cell mediated immunity (GO:0002709)	73	5	.66	+	7.60	6.73E-04	2.02E-02
myeloid leukocyte mediated immunity (GO:0002444)	514	35	4.63	+	7.55	4.18E-20	3.32E-17
cellular response to chemokine (GO:1990869)	89	6	.80	+	7.48	2.11E-04	7.91E-03
response to chemokine (GO:1990868)	89	6	.80	+	7.48	2.11E-04	7.89E-03
myeloid cell activation involved in immune response (GO:0002275)	520	35	4.69	+	7.47	5.93E-20	4.10E-17
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	120	8	1.08	+	7.39	2.01E-05	1.10E-03
positive regulation of gliogenesis (GO:0014015)	75	5	.68	+	7.39	7.55E-04	2.24E-02
response to type I interferon (GO:0034340)	75	5	.68	+	7.39	7.55E-04	2.24E-02
positive regulation of T cell differentiation (GO:0045582)	92	6	.83	+	7.23	2.50E-04	9.03E-03
myeloid leukocyte activation (GO:0002274)	584	38	5.27	+	7.22	3.67E-21	4.86E-18
neutrophil chemotaxis (GO:0030593)	77	5	.69	+	7.20	8.45E-04	2.43E-02
protein localization to endoplasmic reticulum (GO:0070972)	141	9	1.27	+	7.08	8.43E-06	5.30E-04
positive regulation of leukocyte differentiation (GO:1902107)	158	10	1.42	+	7.02	2.83E-06	2.11E-04
chemokine-mediated signaling pathway (GO:0070098)	79	5	.71	+	7.02	9.42E-04	2.68E-02
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	112	7	1.01	+	6.93	9.81E-05	4.22E-03
regulation of interleukin-1 production (GO:0032652)	97	6	.87	+	6.86	3.28E-04	1.14E-02
regulation of alpha-beta T cell activation (GO:0046634)	97	6	.87	+	6.86	3.28E-04	1.13E-02
skeletal muscle tissue development (GO:0007519)	130	8	1.17	+	6.83	3.45E-05	1.77E-03
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	98	6	.88	+	6.79	3.45E-04	1.18E-02
leukocyte activation involved in immune response (GO:0002366)	624	38	5.63	+	6.75	3.16E-20	2.79E-17
cell activation involved in immune response (GO:0002263)	628	38	5.66	+	6.71	3.89E-20	3.25E-17
T cell receptor signaling pathway (GO:0050852)	182	11	1.64	+	6.70	1.37E-06	1.10E-04
regulation of fibroblast proliferation (GO:0048145)	83	5	.75	+	6.68	1.16E-03	3.21E-02
positive regulation of mRNA metabolic process (GO:1903313)	83	5	.75	+	6.68	1.16E-03	3.20E-02
positive regulation of T cell activation (GO:0050870)	216	13	1.95	+	6.68	1.54E-07	1.61E-05
maintenance of protein location (GO:0045185)	100	6	.90	+	6.65	3.83E-04	1.30E-02
negative regulation of peptide secretion (GO:0002792)	100	6	.90	+	6.65	3.83E-04	1.29E-02
response to fibroblast growth factor (GO:0071774)	117	7	1.05	+	6.64	1.27E-04	5.18E-03
regulation of symbiotic process (GO:0043903)	234	14	2.11	+	6.64	5.41E-08	6.06E-06
positive regulation of hemopoiesis (GO:1903708)	201	12	1.81	+	6.62	5.08E-07	4.56E-05
regulation of viral process (GO:0050792)	218	13	1.97	+	6.61	1.70E-07	1.77E-05
granulocyte chemotaxis (GO:0071621)	84	5	.76	+	6.60	1.22E-03	3.31E-02
positive regulation of cell cycle arrest (GO:0071158)	84	5	.76	+	6.60	1.22E-03	3.30E-02
regulation of DNA-templated transcription in response to stress (GO:0043620)	118	7	1.06	+	6.58	1.34E-04	5.39E-03
negative regulation of myeloid cell differentiation (GO:0045638)	85	5	.77	+	6.52	1.29E-03	3.43E-02
regulation of myeloid cell differentiation (GO:0045637)	238	14	2.15	+	6.52	6.60E-08	7.34E-06
cellular response to calcium ion (GO:0071277)	85	5	.77	+	6.52	1.29E-03	3.43E-02
cellular response to lipopolysaccharide (GO:0071222)	187	11	1.69	+	6.52	1.76E-06	1.37E-04
iron ion homeostasis (GO:0055072)	85	5	.77	+	6.52	1.29E-03	3.42E-02
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002822)	153	9	1.38	+	6.52	1.57E-05	8.80E-04
viral gene expression (GO:0019080)	154	9	1.39	+	6.48	1.64E-05	9.21E-04
regulation of lymphocyte proliferation (GO:0050670)	223	13	2.01	+	6.47	2.18E-07	2.16E-05
regulation of chemokine production (GO:0032642)	86	5	.78	+	6.45	1.35E-03	3.58E-02
positive regulation of lymphocyte proliferation (GO:0050671)	138	8	1.24	+	6.43	5.16E-05	2.52E-03
regulation of leukocyte proliferation (GO:0070663)	242	14	2.18	+	6.42	8.03E-08	8.74E-06
regulation of mononuclear cell proliferation (GO:0032944)	225	13	2.03	+	6.41	2.40E-07	2.35E-05
positive regulation of mononuclear cell proliferation (GO:0032946)	139	8	1.25	+	6.38	5.42E-05	2.61E-03
neutrophil migration (GO:1990266)	87	5	.78	+	6.37	1.42E-03	3.71E-02
positive regulation of lymphocyte differentiation (GO:0045621)	105	6	.95	+	6.34	4.89E-04	1.57E-02
negative regulation of viral process (GO:0048525)	105	6	.95	+	6.34	4.89E-04	1.57E-02
positive regulation of endocytosis (GO:0045807)	105	6	.95	+	6.34	4.89E-04	1.57E-02
skeletal muscle organ development (GO:0060538)	140	8	1.26	+	6.34	5.68E-05	2.71E-03
regulation of myeloid leukocyte differentiation (GO:0002761)	123	7	1.11	+	6.31	1.70E-04	6.69E-03
negative regulation of immune effector process (GO:0002698)	124	7	1.12	+	6.26	1.79E-04	6.98E-03
interaction with symbiont (GO:0051702)	89	5	.80	+	6.23	1.56E-03	4.04E-02
negative regulation of leukocyte proliferation (GO:0070664)	89	5	.80	+	6.23	1.56E-03	4.03E-02
regulation of leukocyte chemotaxis (GO:0002688)	125	7	1.13	+	6.21	1.87E-04	7.24E-03
leukocyte chemotaxis (GO:0030595)	143	8	1.29	+	6.20	6.55E-05	3.07E-03
cellular response to molecule of bacterial origin (GO:0071219)	197	11	1.78	+	6.19	2.84E-06	2.11E-04
translational initiation (GO:0006413)	144	8	1.30	+	6.16	6.86E-05	3.18E-03
negative regulation of hemopoiesis (GO:1903707)	144	8	1.30	+	6.16	6.86E-05	3.17E-03
positive regulation of viral process (GO:0048524)	108	6	.97	+	6.16	5.64E-04	1.74E-02
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	235	13	2.12	+	6.14	3.84E-07	3.59E-05
nuclear-transcribed mRNA catabolic process (GO:0000956)	199	11	1.79	+	6.13	3.11E-06	2.24E-04
fat cell differentiation (GO:0045444)	109	6	.98	+	6.11	5.91E-04	1.82E-02
negative regulation of response to wounding (GO:1903035)	91	5	.82	+	6.09	1.71E-03	4.32E-02
mRNA catabolic process (GO:0006402)	219	12	1.97	+	6.08	1.20E-06	9.98E-05
regulated exocytosis (GO:0045055)	696	38	6.28	+	6.06	1.06E-18	5.82E-16
cellular response to fibroblast growth factor stimulus (GO:0044344)	110	6	.99	+	6.05	6.18E-04	1.88E-02
positive regulation of tumor necrosis factor production (GO:0032760)	92	5	.83	+	6.03	1.79E-03	4.50E-02
defense response to Gram-negative bacterium (GO:0050829)	92	5	.83	+	6.03	1.79E-03	4.49E-02
cellular response to biotic stimulus (GO:0071216)	221	12	1.99	+	6.02	1.31E-06	1.06E-04
regulation of DNA binding (GO:0051101)	129	7	1.16	+	6.02	2.25E-04	8.32E-03
cell chemotaxis (GO:0060326)	203	11	1.83	+	6.01	3.73E-06	2.62E-04
regulation of T cell activation (GO:0050863)	334	18	3.01	+	5.98	3.01E-09	4.31E-07
regulation of DNA biosynthetic process (GO:2000278)	112	6	1.01	+	5.94	6.77E-04	2.03E-02
maintenance of location (GO:0051235)	168	9	1.51	+	5.94	3.16E-05	1.65E-03
regulation of adaptive immune response (GO:0002819)	168	9	1.51	+	5.94	3.16E-05	1.65E-03
positive regulation of leukocyte proliferation (GO:0070665)	150	8	1.35	+	5.92	9.00E-05	3.93E-03
regulation of T cell proliferation (GO:0042129)	169	9	1.52	+	5.91	3.30E-05	1.71E-03
negative regulation of protein secretion (GO:0050709)	94	5	.85	+	5.90	1.96E-03	4.80E-02
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	94	5	.85	+	5.90	1.96E-03	4.79E-02
regulation of leukocyte cell-cell adhesion (GO:1903037)	320	17	2.89	+	5.89	1.03E-08	1.32E-06
cytokine-mediated signaling pathway (GO:0019221)	700	37	6.31	+	5.86	8.87E-18	3.92E-15
negative regulation of cysteine-type endopeptidase activity (GO:2000117)	95	5	.86	+	5.84	2.05E-03	4.96E-02
leukocyte activation (GO:0045321)	932	49	8.40	+	5.83	1.70E-23	6.77E-20
RNA catabolic process (GO:0006401)	251	13	2.26	+	5.74	7.81E-07	6.78E-05
regulation of tumor necrosis factor production (GO:0032680)	155	8	1.40	+	5.72	1.12E-04	4.63E-03
leukocyte mediated immunity (GO:0002443)	762	39	6.87	+	5.68	2.86E-18	1.42E-15
regulation of response to wounding (GO:1903034)	176	9	1.59	+	5.67	4.46E-05	2.23E-03
cellular response to interleukin-1 (GO:0071347)	176	9	1.59	+	5.67	4.46E-05	2.23E-03
negative regulation of endopeptidase activity (GO:0010951)	255	13	2.30	+	5.65	9.24E-07	7.82E-05
negative regulation of cytokine production (GO:0001818)	276	14	2.49	+	5.63	3.69E-07	3.47E-05
regulation of tumor necrosis factor superfamily cytokine production (GO:1903555)	158	8	1.42	+	5.62	1.27E-04	5.19E-03
inflammatory response (GO:0006954)	515	26	4.64	+	5.60	2.88E-12	6.36E-10
multi-multicellular organism process (GO:0044706)	219	11	1.97	+	5.57	7.43E-06	4.84E-04
positive regulation of cell-cell adhesion (GO:0022409)	279	14	2.52	+	5.57	4.17E-07	3.88E-05
negative regulation of peptidase activity (GO:0010466)	264	13	2.38	+	5.46	1.34E-06	1.08E-04
negative regulation of defense response (GO:0031348)	407	20	3.67	+	5.45	1.74E-09	2.58E-07
regulation of chemotaxis (GO:0050920)	225	11	2.03	+	5.42	9.48E-06	5.80E-04
myeloid leukocyte differentiation (GO:0002573)	124	6	1.12	+	5.37	1.12E-03	3.13E-02
regulation of gliogenesis (GO:0014013)	124	6	1.12	+	5.37	1.12E-03	3.12E-02
stress-activated protein kinase signaling cascade (GO:0031098)	124	6	1.12	+	5.37	1.12E-03	3.12E-02
cellular response to cytokine stimulus (GO:0071345)	1038	50	9.36	+	5.34	2.15E-22	4.28E-19
cell activation (GO:0001775)	1080	52	9.74	+	5.34	2.56E-23	6.79E-20
regulation of cytokine production (GO:0001817)	730	35	6.58	+	5.32	1.31E-15	4.26E-13
regulation of wound healing (GO:0061041)	146	7	1.32	+	5.32	4.60E-04	1.51E-02
exocytosis (GO:0006887)	793	38	7.15	+	5.31	6.63E-17	2.57E-14
female pregnancy (GO:0007565)	188	9	1.70	+	5.31	7.26E-05	3.32E-03
positive regulation of cytokine production (GO:0001819)	460	22	4.15	+	5.30	4.11E-10	6.67E-08
response to temperature stimulus (GO:0009266)	168	8	1.51	+	5.28	1.90E-04	7.29E-03
positive regulation of chemotaxis (GO:0050921)	147	7	1.33	+	5.28	4.79E-04	1.55E-02
circadian rhythm (GO:0007623)	147	7	1.33	+	5.28	4.79E-04	1.55E-02
negative regulation of MAPK cascade (GO:0043409)	169	8	1.52	+	5.25	1.97E-04	7.52E-03
positive regulation of vasculature development (GO:1904018)	191	9	1.72	+	5.23	8.15E-05	3.62E-03
response to cytokine (GO:0034097)	1126	53	10.15	+	5.22	2.37E-23	7.55E-20
interaction with host (GO:0051701)	170	8	1.53	+	5.22	2.05E-04	7.70E-03
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	128	6	1.15	+	5.20	1.31E-03	3.49E-02
positive regulation of angiogenesis (GO:0045766)	171	8	1.54	+	5.19	2.13E-04	7.93E-03
regulation of T cell differentiation (GO:0045580)	151	7	1.36	+	5.14	5.58E-04	1.75E-02
intrinsic apoptotic signaling pathway (GO:0097193)	151	7	1.36	+	5.14	5.58E-04	1.75E-02
cellular response to metal ion (GO:0071248)	196	9	1.77	+	5.09	9.85E-05	4.21E-03
negative regulation of lymphocyte activation (GO:0051250)	153	7	1.38	+	5.07	6.01E-04	1.84E-02
regulation of RNA stability (GO:0043487)	198	9	1.79	+	5.04	1.06E-04	4.47E-03
