




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.3954044 Released 2020-07-16
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20851)	upload_1 (4575)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
mitochondrial respiratory chain complex assembly (GO:0033108)	102	50	22.38	+	2.23	1.00E-05	3.74E-04
microtubule polymerization or depolymerization (GO:0031109)	51	25	11.19	+	2.23	1.52E-03	3.01E-02
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	49	24	10.75	+	2.23	1.99E-03	3.77E-02
establishment of protein localization to organelle (GO:0072594)	450	219	98.74	+	2.22	1.66E-20	4.05E-18
establishment of protein localization to membrane (GO:0090150)	294	143	64.51	+	2.22	8.04E-14	9.75E-12
vesicle-mediated transport in synapse (GO:0099003)	136	66	29.84	+	2.21	4.56E-07	2.34E-05
protein targeting (GO:0006605)	371	180	81.40	+	2.21	5.42E-17	9.47E-15
NADH dehydrogenase complex assembly (GO:0010257)	66	32	14.48	+	2.21	4.93E-04	1.15E-02
mitochondrial respiratory chain complex I assembly (GO:0032981)	66	32	14.48	+	2.21	4.93E-04	1.14E-02
cytoskeleton-dependent intracellular transport (GO:0030705)	194	94	42.57	+	2.21	1.66E-09	1.27E-07
synaptic vesicle cycle (GO:0099504)	126	61	27.65	+	2.21	1.26E-06	5.87E-05
vesicle targeting (GO:0006903)	91	44	19.97	+	2.20	4.04E-05	1.26E-03
protein transmembrane transport (GO:0071806)	60	29	13.16	+	2.20	7.95E-04	1.73E-02
mRNA export from nucleus (GO:0006406)	110	53	24.14	+	2.20	7.82E-06	3.03E-04
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	110	53	24.14	+	2.20	7.82E-06	3.03E-04
post-Golgi vesicle-mediated transport (GO:0006892)	133	64	29.18	+	2.19	8.76E-07	4.29E-05
negative regulation of response to endoplasmic reticulum stress (GO:1903573)	52	25	11.41	+	2.19	2.50E-03	4.53E-02
mRNA metabolic process (GO:0016071)	697	335	152.93	+	2.19	2.78E-30	1.16E-27
protein N-linked glycosylation (GO:0006487)	75	36	16.46	+	2.19	2.61E-04	6.57E-03
regulation of response to endoplasmic reticulum stress (GO:1905897)	94	45	20.62	+	2.18	5.10E-05	1.55E-03
ribonucleoprotein complex assembly (GO:0022618)	195	93	42.79	+	2.17	4.21E-09	3.03E-07
protein localization to vacuole (GO:0072665)	65	31	14.26	+	2.17	7.24E-04	1.59E-02
cellular response to unfolded protein (GO:0034620)	128	61	28.08	+	2.17	2.23E-06	9.93E-05
ribonucleoprotein complex subunit organization (GO:0071826)	202	96	44.32	+	2.17	2.99E-09	2.21E-07
regulation of cholesterol metabolic process (GO:0090181)	59	28	12.95	+	2.16	1.19E-03	2.45E-02
regulation of DNA-templated transcription in response to stress (GO:0043620)	118	56	25.89	+	2.16	6.06E-06	2.41E-04
regulation of macroautophagy (GO:0016241)	177	84	38.84	+	2.16	2.44E-08	1.56E-06
cellular response to topologically incorrect protein (GO:0035967)	148	70	32.47	+	2.16	4.78E-07	2.44E-05
ubiquitin-dependent ERAD pathway (GO:0030433)	74	35	16.24	+	2.16	3.80E-04	9.20E-03
vesicle cytoskeletal trafficking (GO:0099518)	70	33	15.36	+	2.15	6.86E-04	1.53E-02
protein folding (GO:0006457)	227	107	49.81	+	2.15	4.14E-10	3.31E-08
negative regulation of RNA catabolic process (GO:1902369)	68	32	14.92	+	2.14	6.18E-04	1.39E-02
regulation of mRNA metabolic process (GO:1903311)	349	164	76.58	+	2.14	1.18E-14	1.54E-12
receptor internalization (GO:0031623)	66	31	14.48	+	2.14	8.07E-04	1.75E-02
regulation of translational initiation (GO:0006446)	81	38	17.77	+	2.14	2.68E-04	6.72E-03
ribonucleoprotein complex localization (GO:0071166)	128	60	28.08	+	2.14	3.55E-06	1.51E-04
protein localization to synapse (GO:0035418)	64	30	14.04	+	2.14	1.06E-03	2.22E-02
oxidative phosphorylation (GO:0006119)	120	56	26.33	+	2.13	1.10E-05	4.04E-04
peptide biosynthetic process (GO:0043043)	418	195	91.72	+	2.13	5.86E-17	1.01E-14
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	88	41	19.31	+	2.12	1.29E-04	3.51E-03
regulation of dendrite development (GO:0050773)	157	73	34.45	+	2.12	4.02E-07	2.10E-05
ribonucleoprotein complex export from nucleus (GO:0071426)	127	59	27.87	+	2.12	5.16E-06	2.12E-04
response to amino acid starvation (GO:1990928)	82	38	17.99	+	2.11	2.89E-04	7.16E-03
mRNA processing (GO:0006397)	486	225	106.64	+	2.11	4.05E-19	8.82E-17
respiratory electron transport chain (GO:0022904)	108	50	23.70	+	2.11	3.95E-05	1.23E-03
vesicle budding from membrane (GO:0006900)	104	48	22.82	+	2.10	4.60E-05	1.41E-03
aerobic respiration (GO:0009060)	78	36	17.11	+	2.10	5.15E-04	1.18E-02
S phase (GO:0051320)	65	30	14.26	+	2.10	1.19E-03	2.45E-02
mitotic S phase (GO:0000084)	65	30	14.26	+	2.10	1.19E-03	2.45E-02
positive regulation of axonogenesis (GO:0050772)	89	41	19.53	+	2.10	2.02E-04	5.23E-03
ATP synthesis coupled electron transport (GO:0042773)	89	41	19.53	+	2.10	2.02E-04	5.22E-03
multi-organism localization (GO:1902579)	63	29	13.82	+	2.10	1.56E-03	3.07E-02
multi-organism transport (GO:0044766)	63	29	13.82	+	2.10	1.56E-03	3.07E-02
regulation of microtubule polymerization or depolymerization (GO:0031110)	87	40	19.09	+	2.10	2.70E-04	6.75E-03
cytosolic transport (GO:0016482)	148	68	32.47	+	2.09	1.74E-06	7.87E-05
ribosomal small subunit biogenesis (GO:0042274)	74	34	16.24	+	2.09	6.15E-04	1.39E-02
transport of virus (GO:0046794)	61	28	13.38	+	2.09	2.05E-03	3.87E-02
response to unfolded protein (GO:0006986)	166	76	36.42	+	2.09	4.91E-07	2.50E-05
cellular response to amino acid starvation (GO:0034198)	79	36	17.33	+	2.08	5.52E-04	1.26E-02
regulation of ATPase activity (GO:0043462)	79	36	17.33	+	2.08	5.52E-04	1.26E-02
establishment of vesicle localization (GO:0051650)	200	91	43.88	+	2.07	3.40E-08	2.16E-06
antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)	99	45	21.72	+	2.07	1.14E-04	3.14E-03
cellular protein complex disassembly (GO:0043624)	139	63	30.50	+	2.07	5.04E-06	2.09E-04
cytoplasmic microtubule organization (GO:0031122)	64	29	14.04	+	2.07	1.75E-03	3.38E-02
ciliary basal body-plasma membrane docking (GO:0097711)	95	43	20.84	+	2.06	2.01E-04	5.22E-03
response to topologically incorrect protein (GO:0035966)	188	85	41.25	+	2.06	1.20E-07	6.92E-06
transcription-coupled nucleotide-excision repair (GO:0006283)	73	33	16.02	+	2.06	8.98E-04	1.93E-02
pyruvate metabolic process (GO:0006090)	71	32	15.58	+	2.05	1.17E-03	2.42E-02
cellular respiration (GO:0045333)	158	71	34.67	+	2.05	1.53E-06	7.01E-05
protein-containing complex localization (GO:0031503)	261	117	57.27	+	2.04	7.82E-10	6.13E-08
regulation of cellular amino acid metabolic process (GO:0006521)	67	30	14.70	+	2.04	2.03E-03	3.83E-02
vesicle localization (GO:0051648)	210	94	46.08	+	2.04	4.30E-08	2.69E-06
positive regulation of dendrite development (GO:1900006)	76	34	16.68	+	2.04	1.05E-03	2.21E-02
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	132	59	28.96	+	2.04	1.63E-05	5.66E-04
cell growth (GO:0016049)	94	42	20.62	+	2.04	2.84E-04	7.05E-03
endoplasmic reticulum organization (GO:0007029)	83	37	18.21	+	2.03	7.24E-04	1.59E-02
developmental cell growth (GO:0048588)	92	41	20.19	+	2.03	3.78E-04	9.18E-03
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II (GO:0002504)	101	45	22.16	+	2.03	1.98E-04	5.16E-03
antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)	101	45	22.16	+	2.03	1.98E-04	5.15E-03
response to endoplasmic reticulum stress (GO:0034976)	256	114	56.17	+	2.03	1.90E-09	1.44E-07
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	198	88	43.44	+	2.03	1.50E-07	8.43E-06
mitochondrial transport (GO:0006839)	225	100	49.37	+	2.03	2.23E-08	1.45E-06
RNA export from nucleus (GO:0006405)	135	60	29.62	+	2.03	1.34E-05	4.76E-04
mitotic interphase (GO:0051329)	79	35	17.33	+	2.02	8.71E-04	1.88E-02
interphase (GO:0051325)	79	35	17.33	+	2.02	8.71E-04	1.88E-02
neurotransmitter transport (GO:0006836)	149	66	32.69	+	2.02	6.34E-06	2.51E-04
protein localization to membrane (GO:0072657)	531	235	116.51	+	2.02	4.97E-18	9.87E-16
nucleobase-containing compound catabolic process (GO:0034655)	382	169	83.82	+	2.02	2.57E-13	2.92E-11
ATP metabolic process (GO:0046034)	208	92	45.64	+	2.02	8.49E-08	5.06E-06
microtubule-based transport (GO:0099111)	190	84	41.69	+	2.01	3.06E-07	1.62E-05
translational elongation (GO:0006414)	125	55	27.43	+	2.01	3.64E-05	1.15E-03
intracellular protein transport (GO:0006886)	991	436	217.44	+	2.01	1.41E-32	6.77E-30
Golgi vesicle transport (GO:0048193)	401	176	87.98	+	2.00	1.61E-13	1.92E-11
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	162	71	35.55	+	2.00	3.00E-06	1.30E-04
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	178	78	39.06	+	2.00	1.07E-06	5.08E-05
localization within membrane (GO:0051668)	89	39	19.53	+	2.00	7.06E-04	1.56E-02
ERAD pathway (GO:0036503)	89	39	19.53	+	2.00	7.06E-04	1.56E-02
insulin receptor signaling pathway (GO:0008286)	89	39	19.53	+	2.00	7.06E-04	1.56E-02
peptide metabolic process (GO:0006518)	538	235	118.04	+	1.99	1.66E-17	3.07E-15
RNA localization (GO:0006403)	225	98	49.37	+	1.99	5.11E-08	3.14E-06
protein export from nucleus (GO:0006611)	152	66	33.35	+	1.98	1.13E-05	4.15E-04
regulation of mRNA stability (GO:0043488)	189	82	41.47	+	1.98	9.26E-07	4.52E-05
macroautophagy (GO:0016236)	189	82	41.47	+	1.98	9.26E-07	4.50E-05
negative regulation of protein polymerization (GO:0032272)	74	32	16.24	+	1.97	2.12E-03	3.99E-02
regulation of telomere maintenance (GO:0032204)	81	35	17.77	+	1.97	1.44E-03	2.87E-02
dicarboxylic acid transport (GO:0006835)	79	34	17.33	+	1.96	1.90E-03	3.62E-02
membrane docking (GO:0022406)	179	77	39.28	+	1.96	2.43E-06	1.07E-04
ribonucleoprotein complex biogenesis (GO:0022613)	470	202	103.12	+	1.96	1.18E-14	1.53E-12
amide biosynthetic process (GO:0043604)	545	234	119.58	+	1.96	8.20E-17	1.39E-14
regulation of RNA stability (GO:0043487)	198	85	43.44	+	1.96	7.20E-07	3.54E-05
vesicle-mediated transport to the plasma membrane (GO:0098876)	84	36	18.43	+	1.95	1.19E-03	2.45E-02
regulation of autophagy (GO:0010506)	350	150	76.79	+	1.95	4.17E-11	3.77E-09
positive regulation of proteasomal protein catabolic process (GO:1901800)	110	47	24.14	+	1.95	2.34E-04	5.98E-03
intracellular transport (GO:0046907)	1528	649	335.26	+	1.94	2.54E-45	3.36E-42
regulation of receptor-mediated endocytosis (GO:0048259)	106	45	23.26	+	1.93	3.95E-04	9.47E-03
negative regulation of protein-containing complex assembly (GO:0031333)	139	59	30.50	+	1.93	5.39E-05	1.63E-03
mRNA transport (GO:0051028)	158	67	34.67	+	1.93	1.58E-05	5.53E-04
cellular macromolecule catabolic process (GO:0044265)	920	390	201.86	+	1.93	1.31E-26	4.52E-24
organelle localization by membrane tethering (GO:0140056)	170	72	37.30	+	1.93	6.91E-06	2.72E-04
mRNA 3'-end processing (GO:0031124)	90	38	19.75	+	1.92	1.13E-03	2.35E-02
receptor metabolic process (GO:0043112)	109	46	23.92	+	1.92	3.31E-04	8.11E-03
regulation of mRNA catabolic process (GO:0061013)	211	89	46.30	+	1.92	6.94E-07	3.44E-05
regulation of neurotransmitter levels (GO:0001505)	242	102	53.10	+	1.92	1.26E-07	7.20E-06
dendrite development (GO:0016358)	114	48	25.01	+	1.92	2.87E-04	7.12E-03
negative regulation of cell projection organization (GO:0031345)	183	77	40.15	+	1.92	4.42E-06	1.84E-04
regulation of postsynapse organization (GO:0099175)	107	45	23.48	+	1.92	4.26E-04	1.01E-02
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	88	37	19.31	+	1.92	1.46E-03	2.92E-02
mitochondrial translational elongation (GO:0070125)	88	37	19.31	+	1.92	1.46E-03	2.92E-02
viral process (GO:0016032)	816	343	179.04	+	1.92	4.91E-23	1.42E-20
mitochondrial membrane organization (GO:0007006)	138	58	30.28	+	1.92	7.43E-05	2.15E-03
cellular response to insulin stimulus (GO:0032869)	174	73	38.18	+	1.91	8.39E-06	3.21E-04
antigen processing and presentation of exogenous antigen (GO:0019884)	186	78	40.81	+	1.91	3.72E-06	1.58E-04
positive regulation of endocytosis (GO:0045807)	105	44	23.04	+	1.91	5.51E-04	1.26E-02
organelle membrane fusion (GO:0090174)	86	36	18.87	+	1.91	1.91E-03	3.63E-02
regulation of protein dephosphorylation (GO:0035304)	141	59	30.94	+	1.91	6.16E-05	1.84E-03
negative regulation of cellular catabolic process (GO:0031330)	261	109	57.27	+	1.90	5.50E-08	3.34E-06
RNA processing (GO:0006396)	923	385	202.52	+	1.90	3.08E-25	1.00E-22
negative regulation of cellular amide metabolic process (GO:0034249)	156	65	34.23	+	1.90	3.03E-05	9.85E-04
energy derivation by oxidation of organic compounds (GO:0015980)	228	95	50.03	+	1.90	5.52E-07	2.77E-05
positive regulation of neuron projection development (GO:0010976)	293	122	64.29	+	1.90	1.04E-08	7.09E-07
regulation of endocytosis (GO:0030100)	209	87	45.86	+	1.90	1.34E-06	6.19E-05
protein localization to organelle (GO:0033365)	777	323	170.48	+	1.89	3.81E-21	9.77E-19
regulation of ATP metabolic process (GO:1903578)	123	51	26.99	+	1.89	2.26E-04	5.79E-03
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	198	82	43.44	+	1.89	3.24E-06	1.39E-04
autophagy (GO:0006914)	302	125	66.26	+	1.89	8.25E-09	5.75E-07
process utilizing autophagic mechanism (GO:0061919)	302	125	66.26	+	1.89	8.25E-09	5.72E-07
organelle fusion (GO:0048284)	104	43	22.82	+	1.88	7.67E-04	1.68E-02
rRNA processing (GO:0006364)	259	107	56.83	+	1.88	1.44E-07	8.12E-06
negative regulation of translation (GO:0017148)	138	57	30.28	+	1.88	1.10E-04	3.04E-03
positive regulation of binding (GO:0051099)	177	73	38.84	+	1.88	1.40E-05	4.96E-04
regulation of microtubule cytoskeleton organization (GO:0070507)	194	80	42.57	+	1.88	5.36E-06	2.17E-04
regulation of phosphoprotein phosphatase activity (GO:0043666)	119	49	26.11	+	1.88	3.73E-04	9.10E-03
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	85	35	18.65	+	1.88	2.66E-03	4.78E-02
mitotic prometaphase (GO:0000236)	170	70	37.30	+	1.88	2.06E-05	6.96E-04
regulation of proteasomal protein catabolic process (GO:0061136)	192	79	42.13	+	1.88	6.94E-06	2.72E-04
nucleotide-excision repair (GO:0006289)	107	44	23.48	+	1.87	8.77E-04	1.89E-02
rRNA metabolic process (GO:0016072)	270	111	59.24	+	1.87	8.45E-08	5.05E-06
regulation of translation (GO:0006417)	380	156	83.38	+	1.87	1.96E-10	1.63E-08
positive regulation of translation (GO:0045727)	139	57	30.50	+	1.87	1.63E-04	4.34E-03
regulation of axon extension (GO:0030516)	100	41	21.94	+	1.87	1.29E-03	2.61E-02
nuclear export (GO:0051168)	166	68	36.42	+	1.87	3.42E-05	1.09E-03
regulation of synaptic plasticity (GO:0048167)	193	79	42.35	+	1.87	7.34E-06	2.87E-04
positive regulation of protein binding (GO:0032092)	88	36	19.31	+	1.86	2.23E-03	4.15E-02
establishment of RNA localization (GO:0051236)	203	83	44.54	+	1.86	4.16E-06	1.75E-04
cellular response to decreased oxygen levels (GO:0036294)	203	83	44.54	+	1.86	4.16E-06	1.75E-04
protein import (GO:0017038)	159	65	34.89	+	1.86	5.02E-05	1.53E-03
