




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.3954044 Released 2020-07-16
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20851)	upload_1 (3022)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of telomere maintenance (GO:0032205)	37	15	5.36	+	2.80	2.37E-03	4.90E-02
synaptic vesicle cycle (GO:0099504)	126	51	18.26	+	2.79	9.12E-09	6.75E-07
receptor localization to synapse (GO:0097120)	42	17	6.09	+	2.79	1.10E-03	2.55E-02
long-term synaptic potentiation (GO:0060291)	47	19	6.81	+	2.79	5.16E-04	1.37E-02
acidic amino acid transport (GO:0015800)	52	21	7.54	+	2.79	2.47E-04	7.51E-03
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	77	31	11.16	+	2.78	7.52E-06	3.34E-04
nuclear-transcribed mRNA catabolic process (GO:0000956)	199	80	28.84	+	2.77	1.08E-12	1.40E-10
peptidyl-lysine trimethylation (GO:0018023)	40	16	5.80	+	2.76	1.69E-03	3.69E-02
negative regulation of ubiquitin-dependent protein catabolic process (GO:2000059)	50	20	7.25	+	2.76	3.81E-04	1.06E-02
synaptic vesicle recycling (GO:0036465)	60	24	8.70	+	2.76	9.13E-05	3.04E-03
regulation of calcium ion-dependent exocytosis (GO:0017158)	45	18	6.52	+	2.76	7.96E-04	1.95E-02
transmission of nerve impulse (GO:0019226)	56	22	8.12	+	2.71	2.17E-04	6.70E-03
mRNA catabolic process (GO:0006402)	219	86	31.74	+	2.71	4.32E-13	5.82E-11
regulation of RNA splicing (GO:0043484)	158	62	22.90	+	2.71	6.19E-10	5.38E-08
regulation of neurotransmitter secretion (GO:0046928)	110	43	15.94	+	2.70	2.75E-07	1.63E-05
regulation of neuronal synaptic plasticity (GO:0048168)	54	21	7.83	+	2.68	3.35E-04	9.62E-03
visual learning (GO:0008542)	49	19	7.10	+	2.68	6.81E-04	1.74E-02
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	88	34	12.75	+	2.67	6.56E-06	2.95E-04
dendrite morphogenesis (GO:0048813)	60	23	8.70	+	2.64	1.98E-04	6.13E-03
regulation of postsynapse organization (GO:0099175)	107	41	15.51	+	2.64	1.20E-06	6.20E-05
regulation of dendritic spine morphogenesis (GO:0061001)	47	18	6.81	+	2.64	1.05E-03	2.47E-02
neurotransmitter transport (GO:0006836)	149	57	21.60	+	2.64	9.13E-09	6.72E-07
protein targeting to membrane (GO:0006612)	183	70	26.52	+	2.64	1.21E-10	1.14E-08
ATP synthesis coupled electron transport (GO:0042773)	89	34	12.90	+	2.64	7.57E-06	3.35E-04
protein targeting to mitochondrion (GO:0006626)	55	21	7.97	+	2.63	3.95E-04	1.09E-02
ribonucleoprotein complex assembly (GO:0022618)	195	74	28.26	+	2.62	5.76E-11	5.80E-09
neural retina development (GO:0003407)	69	26	10.00	+	2.60	1.29E-04	4.15E-03
regulation of neurotransmitter transport (GO:0051588)	125	47	18.12	+	2.59	2.04E-07	1.26E-05
protein localization to synapse (GO:0035418)	64	24	9.28	+	2.59	2.68E-04	8.04E-03
postsynapse organization (GO:0099173)	91	34	13.19	+	2.58	1.03E-05	4.38E-04
regulation of synaptic plasticity (GO:0048167)	193	72	27.97	+	2.57	1.71E-10	1.56E-08
ribonucleoprotein complex subunit organization (GO:0071826)	202	75	29.28	+	2.56	1.16E-10	1.11E-08
negative regulation of TOR signaling (GO:0032007)	46	17	6.67	+	2.55	1.88E-03	4.03E-02
positive regulation of synapse assembly (GO:0051965)	65	24	9.42	+	2.55	2.94E-04	8.65E-03
positive regulation of dendrite development (GO:1900006)	76	28	11.01	+	2.54	8.06E-05	2.75E-03
translational elongation (GO:0006414)	125	46	18.12	+	2.54	6.32E-07	3.53E-05
action potential (GO:0001508)	98	36	14.20	+	2.53	9.81E-06	4.19E-04
negative regulation of phosphoprotein phosphatase activity (GO:0032515)	63	23	9.13	+	2.52	4.43E-04	1.20E-02
regulation of synapse assembly (GO:0051963)	107	39	15.51	+	2.51	4.15E-06	1.92E-04
positive regulation of protein binding (GO:0032092)	88	32	12.75	+	2.51	4.09E-05	1.51E-03
visual behavior (GO:0007632)	55	20	7.97	+	2.51	1.27E-03	2.87E-02
negative regulation of cellular protein catabolic process (GO:1903363)	86	31	12.46	+	2.49	6.09E-05	2.15E-03
RNA catabolic process (GO:0006401)	251	90	36.38	+	2.47	5.63E-12	6.63E-10
negative regulation of Ras protein signal transduction (GO:0046580)	53	19	7.68	+	2.47	1.90E-03	4.06E-02
axo-dendritic transport (GO:0008088)	67	24	9.71	+	2.47	3.70E-04	1.04E-02
regulation of neurotransmitter receptor activity (GO:0099601)	81	29	11.74	+	2.47	1.25E-04	4.05E-03
axonal transport (GO:0098930)	56	20	8.12	+	2.46	1.38E-03	3.08E-02
response to nerve growth factor (GO:1990089)	56	20	8.12	+	2.46	1.38E-03	3.08E-02
selective autophagy (GO:0061912)	56	20	8.12	+	2.46	1.38E-03	3.07E-02
chaperone-mediated protein folding (GO:0061077)	59	21	8.55	+	2.46	1.01E-03	2.38E-02
detection of light stimulus (GO:0009583)	62	22	8.99	+	2.45	7.46E-04	1.86E-02
establishment of protein localization to membrane (GO:0090150)	294	104	42.61	+	2.44	2.59E-13	3.58E-11
negative regulation of protein dephosphorylation (GO:0035308)	68	24	9.86	+	2.44	4.22E-04	1.15E-02
ribosome assembly (GO:0042255)	68	24	9.86	+	2.44	4.22E-04	1.14E-02
cellular component maintenance (GO:0043954)	54	19	7.83	+	2.43	2.07E-03	4.38E-02
protein localization to cell junction (GO:1902414)	91	32	13.19	+	2.43	5.51E-05	1.96E-03
protein transmembrane transport (GO:0071806)	60	21	8.70	+	2.41	1.12E-03	2.61E-02
NADH dehydrogenase complex assembly (GO:0010257)	66	23	9.57	+	2.40	6.37E-04	1.65E-02
mitochondrial respiratory chain complex I assembly (GO:0032981)	66	23	9.57	+	2.40	6.37E-04	1.65E-02
regulation of dendrite morphogenesis (GO:0048814)	95	33	13.77	+	2.40	4.75E-05	1.73E-03
establishment of protein localization to organelle (GO:0072594)	450	156	65.22	+	2.39	9.09E-19	1.95E-16
regulation of synapse structure or activity (GO:0050803)	240	83	34.78	+	2.39	1.84E-10	1.66E-08
cellular glucan metabolic process (GO:0006073)	55	19	7.97	+	2.38	2.28E-03	4.77E-02
glucan metabolic process (GO:0044042)	55	19	7.97	+	2.38	2.28E-03	4.76E-02
positive regulation of neuron apoptotic process (GO:0043525)	58	20	8.41	+	2.38	1.69E-03	3.69E-02
translation (GO:0006412)	393	135	56.96	+	2.37	4.83E-16	9.47E-14
dendrite development (GO:0016358)	114	39	16.52	+	2.36	1.38E-05	5.67E-04
regulation of cellular response to heat (GO:1900034)	79	27	11.45	+	2.36	3.26E-04	9.41E-03
associative learning (GO:0008306)	79	27	11.45	+	2.36	3.26E-04	9.39E-03
oxidative phosphorylation (GO:0006119)	120	41	17.39	+	2.36	1.20E-05	5.01E-04
regulation of synapse organization (GO:0050807)	229	78	33.19	+	2.35	1.14E-09	9.34E-08
protein targeting (GO:0006605)	371	126	53.77	+	2.34	1.11E-14	1.84E-12
regulation of neurotransmitter levels (GO:0001505)	242	82	35.07	+	2.34	6.25E-10	5.37E-08
regulation of telomere maintenance via telomere lengthening (GO:1904356)	62	21	8.99	+	2.34	1.44E-03	3.20E-02
histone lysine methylation (GO:0034968)	74	25	10.73	+	2.33	6.52E-04	1.68E-02
ubiquitin-dependent ERAD pathway (GO:0030433)	74	25	10.73	+	2.33	6.52E-04	1.68E-02
negative regulation of protein ubiquitination (GO:0031397)	77	26	11.16	+	2.33	4.83E-04	1.29E-02
protein localization to mitochondrion (GO:0070585)	80	27	11.59	+	2.33	3.61E-04	1.03E-02
mRNA metabolic process (GO:0016071)	697	233	101.02	+	2.31	7.73E-26	3.84E-23
neuron projection extension (GO:1990138)	66	22	9.57	+	2.30	1.79E-03	3.88E-02
receptor internalization (GO:0031623)	66	22	9.57	+	2.30	1.79E-03	3.87E-02
respiratory electron transport chain (GO:0022904)	108	36	15.65	+	2.30	4.50E-05	1.65E-03
regulation of dendritic spine development (GO:0060998)	78	26	11.30	+	2.30	5.37E-04	1.42E-02
RNA splicing (GO:0008380)	407	135	58.99	+	2.29	3.95E-15	6.91E-13
positive regulation of synaptic transmission (GO:0050806)	154	51	22.32	+	2.28	2.20E-06	1.07E-04
regulation of axon extension (GO:0030516)	100	33	14.49	+	2.28	1.15E-04	3.75E-03
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	88	29	12.75	+	2.27	3.72E-04	1.04E-02
central nervous system neuron development (GO:0021954)	85	28	12.32	+	2.27	5.09E-04	1.35E-02
negative regulation of proteolysis involved in cellular protein catabolic process (GO:1903051)	73	24	10.58	+	2.27	1.06E-03	2.48E-02
establishment of protein localization to mitochondrion (GO:0072655)	73	24	10.58	+	2.27	1.06E-03	2.48E-02
peptide biosynthetic process (GO:0043043)	418	137	60.58	+	2.26	5.14E-15	8.89E-13
synapse organization (GO:0050808)	294	96	42.61	+	2.25	8.58E-11	8.42E-09
ciliary basal body-plasma membrane docking (GO:0097711)	95	31	13.77	+	2.25	2.24E-04	6.84E-03
ERAD pathway (GO:0036503)	89	29	12.90	+	2.25	4.00E-04	1.10E-02
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	89	29	12.90	+	2.25	4.00E-04	1.10E-02
regulation of potassium ion transmembrane transport (GO:1901379)	83	27	12.03	+	2.24	7.39E-04	1.84E-02
ribosomal small subunit biogenesis (GO:0042274)	74	24	10.73	+	2.24	1.18E-03	2.71E-02
energy reserve metabolic process (GO:0006112)	68	22	9.86	+	2.23	2.10E-03	4.44E-02
regulation of regulated secretory pathway (GO:1903305)	167	54	24.20	+	2.23	1.91E-06	9.34E-05
peptidyl-threonine modification (GO:0018210)	84	27	12.17	+	2.22	7.89E-04	1.94E-02
RNA splicing, via transesterification reactions (GO:0000375)	306	98	44.35	+	2.21	1.20E-10	1.14E-08
mRNA splicing, via spliceosome (GO:0000398)	303	97	43.91	+	2.21	1.57E-10	1.46E-08
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	303	97	43.91	+	2.21	1.57E-10	1.45E-08
peptidyl-threonine phosphorylation (GO:0018107)	75	24	10.87	+	2.21	1.32E-03	2.97E-02
mRNA processing (GO:0006397)	486	155	70.44	+	2.20	6.21E-16	1.19E-13
regulation of dendrite development (GO:0050773)	157	50	22.75	+	2.20	4.77E-06	2.19E-04
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	132	42	19.13	+	2.20	2.89E-05	1.11E-03
regulation of mRNA metabolic process (GO:1903311)	349	111	50.58	+	2.19	1.28E-11	1.45E-09
modulation of chemical synaptic transmission (GO:0050804)	456	145	66.09	+	2.19	7.59E-15	1.30E-12
response to light stimulus (GO:0009416)	312	99	45.22	+	2.19	1.64E-10	1.51E-08
regulation of trans-synaptic signaling (GO:0099177)	457	145	66.23	+	2.19	8.11E-15	1.37E-12
negative regulation of protein catabolic process (GO:0042177)	133	42	19.28	+	2.18	3.20E-05	1.21E-03
learning (GO:0007612)	149	47	21.60	+	2.18	1.19E-05	5.00E-04
multicellular organismal signaling (GO:0035637)	137	43	19.86	+	2.17	3.75E-05	1.40E-03
positive regulation of neuron death (GO:1901216)	99	31	14.35	+	2.16	4.64E-04	1.25E-02
histone methylation (GO:0016571)	96	30	13.91	+	2.16	6.27E-04	1.63E-02
positive regulation of exocytosis (GO:0045921)	93	29	13.48	+	2.15	8.51E-04	2.07E-02
regulation of microtubule polymerization or depolymerization (GO:0031110)	87	27	12.61	+	2.14	1.02E-03	2.42E-02
vesicle-mediated transport to the plasma membrane (GO:0098876)	84	26	12.17	+	2.14	1.35E-03	3.04E-02
mRNA export from nucleus (GO:0006406)	110	34	15.94	+	2.13	3.43E-04	9.83E-03
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	110	34	15.94	+	2.13	3.43E-04	9.81E-03
signal release (GO:0023061)	204	63	29.57	+	2.13	1.01E-06	5.32E-05
vacuolar transport (GO:0007034)	149	46	21.60	+	2.13	2.95E-05	1.12E-03
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	162	50	23.48	+	2.13	1.02E-05	4.30E-04
regulation of telomere maintenance (GO:0032204)	81	25	11.74	+	2.13	1.80E-03	3.89E-02
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	104	32	15.07	+	2.12	4.13E-04	1.13E-02
regulation of neuron apoptotic process (GO:0043523)	215	66	31.16	+	2.12	4.84E-07	2.76E-05
peptide metabolic process (GO:0006518)	538	165	77.97	+	2.12	1.20E-15	2.23E-13
negative regulation of cell projection organization (GO:0031345)	183	56	26.52	+	2.11	4.91E-06	2.25E-04
cellular response to calcium ion (GO:0071277)	85	26	12.32	+	2.11	1.49E-03	3.28E-02
developmental cell growth (GO:0048588)	92	28	13.33	+	2.10	1.29E-03	2.91E-02
regulation of extent of cell growth (GO:0061387)	115	35	16.67	+	2.10	2.90E-04	8.60E-03
negative regulation of mRNA metabolic process (GO:1903312)	89	27	12.90	+	2.09	1.74E-03	3.77E-02
ATP metabolic process (GO:0046034)	208	63	30.15	+	2.09	1.29E-06	6.57E-05
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	327	99	47.39	+	2.09	1.51E-09	1.21E-07
maintenance of location in cell (GO:0051651)	96	29	13.91	+	2.08	1.04E-03	2.44E-02
regulation of axonogenesis (GO:0050770)	192	58	27.83	+	2.08	3.46E-06	1.62E-04
regulation of receptor-mediated endocytosis (GO:0048259)	106	32	15.36	+	2.08	6.92E-04	1.76E-02
proteasomal protein catabolic process (GO:0010498)	349	105	50.58	+	2.08	5.26E-10	4.62E-08
mRNA 3'-end processing (GO:0031124)	90	27	13.04	+	2.07	1.84E-03	3.96E-02
protein localization to organelle (GO:0033365)	777	233	112.61	+	2.07	1.17E-20	3.26E-18
transport along microtubule (GO:0010970)	157	47	22.75	+	2.07	4.52E-05	1.66E-03
mitochondrial transmembrane transport (GO:1990542)	97	29	14.06	+	2.06	1.13E-03	2.62E-02
cytoskeleton-dependent intracellular transport (GO:0030705)	194	58	28.12	+	2.06	5.58E-06	2.53E-04
cell growth (GO:0016049)	94	28	13.62	+	2.06	1.49E-03	3.28E-02
protein localization to membrane (GO:0072657)	531	158	76.96	+	2.05	4.55E-14	6.89E-12
positive regulation of cell junction assembly (GO:1901890)	101	30	14.64	+	2.05	1.32E-03	2.97E-02
positive regulation of neuron projection development (GO:0010976)	293	87	42.47	+	2.05	3.39E-08	2.36E-06
regulation of endocytosis (GO:0030100)	209	62	30.29	+	2.05	3.18E-06	1.52E-04
positive regulation of viral process (GO:0048524)	108	32	15.65	+	2.04	7.84E-04	1.93E-02
negative regulation of phosphatase activity (GO:0010923)	108	32	15.65	+	2.04	7.84E-04	1.93E-02
ribonucleoprotein complex biogenesis (GO:0022613)	470	139	68.12	+	2.04	2.42E-12	2.99E-10
protein import (GO:0017038)	159	47	23.04	+	2.04	5.08E-05	1.84E-03
regulation of exocytosis (GO:0017157)	227	67	32.90	+	2.04	1.38E-06	6.94E-05
cellular protein complex disassembly (GO:0043624)	139	41	20.15	+	2.04	1.67E-04	5.26E-03
intracellular protein transport (GO:0006886)	991	292	143.63	+	2.03	8.43E-25	3.83E-22
mitochondrial respiratory chain complex assembly (GO:0033108)	102	30	14.78	+	2.03	1.39E-03	3.09E-02
regulation of phosphoprotein phosphatase activity (GO:0043666)	119	35	17.25	+	2.03	5.53E-04	1.45E-02
viral process (GO:0016032)	816	240	118.27	+	2.03	2.10E-20	5.65E-18
energy derivation by oxidation of organic compounds (GO:0015980)	228	67	33.04	+	2.03	1.48E-06	7.35E-05
regulation of potassium ion transport (GO:0043266)	99	29	14.35	+	2.02	1.86E-03	3.98E-02
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	147	43	21.31	+	2.02	1.59E-04	5.02E-03
regulation of cation channel activity (GO:2001257)	185	54	26.81	+	2.01	2.04E-05	8.09E-04
negative regulation of neuron apoptotic process (GO:0043524)	151	44	21.88	+	2.01	1.25E-04	4.05E-03
ribonucleoprotein complex export from nucleus (GO:0071426)	127	37	18.41	+	2.01	3.67E-04	1.04E-02
positive regulation of proteasomal protein catabolic process (GO:1901800)	110	32	15.94	+	2.01	9.19E-04	2.20E-02
cellular macromolecule catabolic process (GO:0044265)	920	267	133.34	+	2.00	6.81E-22	2.12E-19
positive regulation of cell morphogenesis involved in differentiation (GO:0010770)	159	46	23.04	+	2.00	1.19E-04	3.88E-03
ribonucleoprotein complex localization (GO:0071166)	128	37	18.55	+	1.99	5.51E-04	1.45E-02
RNA export from nucleus (GO:0006405)	135	39	19.57	+	1.99	3.30E-04	9.50E-03
organelle fusion (GO:0048284)	104	30	15.07	+	1.99	1.58E-03	3.46E-02
regulation of cell morphogenesis involved in differentiation (GO:0010769)	316	91	45.80	+	1.99	4.36E-08	3.00E-06
protein-containing complex localization (GO:0031503)	261	75	37.83	+	1.98	8.00E-07	4.36E-05
nucleocytoplasmic transport (GO:0006913)	268	77	38.84	+	1.98	5.00E-07	2.81E-05
peptidyl-serine phosphorylation (GO:0018105)	181	52	26.23	+	1.98	3.98E-05	1.47E-03
lysosomal transport (GO:0007041)	108	31	15.65	+	1.98	1.86E-03	3.98E-02
negative regulation of dephosphorylation (GO:0035305)	115	33	16.67	+	1.98	1.09E-03	2.55E-02
cerebral cortex development (GO:0021987)	122	35	17.68	+	1.98	6.78E-04	1.73E-02
amide biosynthetic process (GO:0043604)	545	156	78.99	+	1.97	1.09E-12	1.39E-10
regulation of neuron projection development (GO:0010975)	521	149	75.51	+	1.97	3.05E-12	3.70E-10
memory (GO:0007613)	126	36	18.26	+	1.97	7.67E-04	1.91E-02
ubiquitin-dependent protein catabolic process (GO:0006511)	536	153	77.68	+	1.97	1.71E-12	2.14E-10
nucleobase-containing compound catabolic process (GO:0034655)	382	109	55.36	+	1.97	3.64E-09	2.79E-07
regulation of circadian rhythm (GO:0042752)	123	35	17.83	+	1.96	1.02E-03	2.42E-02
nuclear transport (GO:0051169)	271	77	39.28	+	1.96	8.21E-07	4.45E-05
cell cycle G2/M phase transition (GO:0044839)	141	40	20.44	+	1.96	4.26E-04	1.15E-02
symbiotic process (GO:0044403)	908	256	131.60	+	1.95	9.78E-20	2.36E-17
response to topologically incorrect protein (GO:0035966)	188	53	27.25	+	1.95	5.36E-05	1.92E-03
retina development in camera-type eye (GO:0060041)	149	42	21.60	+	1.94	2.80E-04	8.38E-03
modification-dependent protein catabolic process (GO:0019941)	543	153	78.70	+	1.94	5.01E-12	5.94E-10
modification-dependent macromolecule catabolic process (GO:0043632)	554	156	80.29	+	1.94	2.44E-12	2.98E-10
intracellular transport (GO:0046907)	1528	429	221.46	+	1.94	9.06E-33	9.60E-30
macromolecule catabolic process (GO:0009057)	1055	296	152.90	+	1.94	1.78E-22	6.01E-20
positive regulation of cellular protein catabolic process (GO:1903364)	150	42	21.74	+	1.93	4.16E-04	1.13E-02
membrane docking (GO:0022406)	179	50	25.94	+	1.93	1.23E-04	4.01E-03
cerebellum development (GO:0021549)	111	31	16.09	+	1.93	2.14E-03	4.51E-02
negative regulation of neuron death (GO:1901215)	215	60	31.16	+	1.93	2.20E-05	8.65E-04
circadian rhythm (GO:0007623)	147	41	21.31	+	1.92	3.91E-04	1.08E-02
proteolysis involved in cellular protein catabolic process (GO:0051603)	599	167	86.81	+	1.92	8.85E-13	1.15E-10
regulation of cellular amide metabolic process (GO:0034248)	438	122	63.48	+	1.92	1.48E-09	1.19E-07
cellular respiration (GO:0045333)	158	44	22.90	+	1.92	2.66E-04	8.02E-03
mRNA transport (GO:0051028)	158	44	22.90	+	1.92	2.66E-04	8.00E-03
post-Golgi vesicle-mediated transport (GO:0006892)	133	37	19.28	+	1.92	1.03E-03	2.44E-02
learning or memory (GO:0007611)	266	74	38.55	+	1.92	2.31E-06	1.11E-04
peptidyl-serine modification (GO:0018209)	205	57	29.71	+	1.92	3.39E-05	1.28E-03
neuron migration (GO:0001764)	126	35	18.26	+	1.92	1.19E-03	2.73E-02
