




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.3954044 Released 2020-07-16
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20851)	upload_1 (168)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
cell differentiation (GO:0030154)	3782	53	30.47	+	1.74	3.09E-05	7.34E-03
cellular response to chemical stimulus (GO:0070887)	2929	41	23.60	+	1.74	3.33E-04	3.95E-02
localization (GO:0051179)	5850	81	47.13	+	1.72	3.68E-08	5.85E-05
negative regulation of cellular process (GO:0048523)	4895	67	39.44	+	1.70	2.49E-06	1.27E-03
negative regulation of biological process (GO:0048519)	5557	75	44.77	+	1.68	6.76E-07	5.38E-04
positive regulation of cellular process (GO:0048522)	5712	76	46.02	+	1.65	8.83E-07	6.38E-04
cellular component organization or biogenesis (GO:0071840)	5908	77	47.60	+	1.62	1.77E-06	1.00E-03
system development (GO:0048731)	4514	58	36.37	+	1.59	1.49E-04	2.24E-02
cellular component organization (GO:0016043)	5688	73	45.83	+	1.59	7.69E-06	2.72E-03
signaling (GO:0023052)	5518	70	44.46	+	1.57	2.17E-05	5.75E-03
positive regulation of biological process (GO:0048518)	6306	79	50.81	+	1.55	6.40E-06	2.42E-03
multicellular organism development (GO:0007275)	5117	64	41.23	+	1.55	1.00E-04	1.74E-02
cell communication (GO:0007154)	5609	70	45.19	+	1.55	3.67E-05	8.22E-03
developmental process (GO:0032502)	5954	70	47.97	+	1.46	2.98E-04	3.61E-02
cellular response to stimulus (GO:0051716)	6808	80	54.85	+	1.46	6.62E-05	1.25E-02
regulation of metabolic process (GO:0019222)	6987	82	56.30	+	1.46	5.15E-05	1.05E-02
regulation of macromolecule metabolic process (GO:0060255)	6435	75	51.85	+	1.45	2.06E-04	2.81E-02
regulation of cellular metabolic process (GO:0031323)	6267	73	50.49	+	1.45	2.63E-04	3.35E-02
response to stimulus (GO:0050896)	8545	98	68.85	+	1.42	8.57E-06	2.90E-03
regulation of cellular process (GO:0050794)	11311	126	91.13	+	1.38	5.21E-08	7.53E-05
regulation of biological process (GO:0050789)	11873	129	95.66	+	1.35	1.10E-07	1.35E-04
biological regulation (GO:0065007)	12544	134	101.07	+	1.33	7.95E-08	1.05E-04
cellular process (GO:0009987)	15626	147	125.90	+	1.17	1.02E-04	1.71E-02
biological_process (GO:0008150)	17927	160	144.44	+	1.11	1.87E-04	2.60E-02
Unclassified (UNCLASSIFIED)	2924	8	23.56	-	.34	1.87E-04	2.58E-02
