




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.3954044 Released 2020-07-16
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20851)	upload_1 (165)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
secretion by cell (GO:0032940)	986	24	7.80	+	3.08	1.25E-06	3.81E-04
regulation of immune response (GO:0050776)	1151	28	9.11	+	3.07	1.44E-07	7.40E-05
export from cell (GO:0140352)	1035	25	8.19	+	3.05	8.35E-07	2.71E-04
cellular response to cytokine stimulus (GO:0071345)	1038	25	8.21	+	3.04	8.79E-07	2.79E-04
cell activation (GO:0001775)	1080	26	8.55	+	3.04	5.20E-07	1.88E-04
response to cytokine (GO:0034097)	1126	27	8.91	+	3.03	3.29E-07	1.28E-04
positive regulation of immune response (GO:0050778)	752	18	5.95	+	3.02	3.68E-05	8.13E-03
defense response (GO:0006952)	1434	33	11.35	+	2.91	3.32E-08	2.64E-05
secretion (GO:0046903)	1104	25	8.74	+	2.86	2.60E-06	7.24E-04
response to other organism (GO:0051707)	1428	32	11.30	+	2.83	1.02E-07	5.77E-05
response to external biotic stimulus (GO:0043207)	1430	32	11.32	+	2.83	1.05E-07	5.75E-05
regulation of cytokine production (GO:0001817)	730	16	5.78	+	2.77	2.70E-04	4.05E-02
response to biotic stimulus (GO:0009607)	1462	32	11.57	+	2.77	1.71E-07	8.51E-05
interspecies interaction between organisms (GO:0044419)	2105	46	16.66	+	2.76	1.52E-10	8.07E-07
immune response (GO:0006955)	1934	41	15.30	+	2.68	4.89E-09	9.71E-06
regulation of immune system process (GO:0002682)	1734	35	13.72	+	2.55	2.75E-07	1.12E-04
cellular nitrogen compound biosynthetic process (GO:0044271)	1577	27	12.48	+	2.16	1.61E-04	2.74E-02
immune system process (GO:0002376)	2851	47	22.56	+	2.08	6.58E-07	2.32E-04
establishment of localization in cell (GO:0051649)	2385	36	18.87	+	1.91	1.86E-04	2.99E-02
cellular response to chemical stimulus (GO:0070887)	2929	44	23.18	+	1.90	2.40E-05	5.62E-03
response to external stimulus (GO:0009605)	2544	37	20.13	+	1.84	2.85E-04	4.20E-02
response to stress (GO:0006950)	3656	53	28.93	+	1.83	7.36E-06	1.92E-03
regulation of response to stimulus (GO:0048583)	4382	55	34.68	+	1.59	2.46E-04	3.76E-02
